epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2532.09,1.08196,0.88809,1.06972,0.93434,0.95166,0.96464,0.6378,1.2493,0.88825,1.22359,0.00079705,0.00079705,0.00079705
43,2594.31,1.10672,0.8758,1.08666,0.9303,0.92147,0.95797,0.62698,1.19862,0.95794,1.19003,0.0007921,0.0007921,0.0007921
44,2657.57,1.09013,0.85812,1.07557,0.9519,0.95531,0.96526,0.62746,1.2394,0.80725,1.20256,0.00078715,0.00078715,0.00078715
45,2720.16,1.12182,0.87265,1.07617,0.93098,0.97053,0.9706,0.6375,1.21957,0.80589,1.19196,0.0007822,0.0007822,0.0007822
46,2785,1.10833,0.86498,1.08482,0.96228,0.93469,0.97394,0.63879,1.22823,0.82717,1.21435,0.00077725,0.00077725,0.00077725
47,2851.77,1.09975,0.86489,1.07764,0.97265,0.93866,0.96765,0.62933,1.22953,0.78457,1.22035,0.0007723,0.0007723,0.0007723
48,2918.49,1.03336,0.81261,1.05572,0.92003,0.93373,0.94887,0.60557,1.23518,0.84098,1.26963,0.00076735,0.00076735,0.00076735
49,2983.37,1.09067,0.79718,1.06879,0.96402,0.91823,0.96297,0.62681,1.21987,0.82423,1.26036,0.0007624,0.0007624,0.0007624
50,3046.43,1.08059,0.8024,1.07806,0.95991,0.96616,0.98138,0.65243,1.2233,0.76763,1.23519,0.00075745,0.00075745,0.00075745
51,3108.99,1.07294,0.76814,1.07062,0.92348,0.96861,0.97399,0.63921,1.24006,0.77792,1.22954,0.0007525,0.0007525,0.0007525
52,3171.19,1.03302,0.75363,1.06948,0.96823,0.94538,0.96557,0.64162,1.215,0.74847,1.20436,0.00074755,0.00074755,0.00074755
53,3233.41,1.05137,0.76729,1.06179,0.96013,0.96846,0.97725,0.63365,1.22476,0.77119,1.20997,0.0007426,0.0007426,0.0007426
54,3298.3,1.01327,0.69887,1.01672,0.92277,0.97187,0.97514,0.64214,1.20051,0.75748,1.19628,0.00073765,0.00073765,0.00073765
55,3361.82,1.02913,0.74327,1.02379,0.931,0.95867,0.96685,0.64819,1.20831,0.74814,1.1962,0.0007327,0.0007327,0.0007327
56,3425.09,1.11903,0.77649,1.06653,0.93574,0.96309,0.96595,0.65438,1.19107,0.76887,1.20253,0.00072775,0.00072775,0.00072775
57,3490.93,1.0959,0.78993,1.05168,0.95011,0.95483,0.96545,0.62139,1.2402,0.77589,1.22341,0.0007228,0.0007228,0.0007228
58,3556.28,1.1136,0.79546,1.09198,0.97191,0.9486,0.96859,0.628,1.23845,0.7239,1.22916,0.00071785,0.00071785,0.00071785
59,3621.31,1.03805,0.74106,1.03361,0.94781,0.96425,0.96455,0.66165,1.19505,0.71395,1.1701,0.0007129,0.0007129,0.0007129
60,3686.27,1.05017,0.69628,1.05772,0.95121,0.94653,0.9611,0.63334,1.20818,0.70803,1.18251,0.00070795,0.00070795,0.00070795
61,3749.97,1.05966,0.6845,1.07026,0.96769,0.94666,0.96435,0.62472,1.22346,0.69521,1.2361,0.000703,0.000703,0.000703
62,3812.72,1.0282,0.71254,1.04355,0.97359,0.95593,0.96595,0.63723,1.24266,0.71186,1.24005,0.00069805,0.00069805,0.00069805
63,3874.96,0.99637,0.69033,1.02588,0.93261,0.9524,0.97493,0.65617,1.19556,0.6925,1.19894,0.0006931,0.0006931,0.0006931
64,3938.25,0.9973,0.75536,1.0059,0.95407,0.95569,0.97011,0.66979,1.19096,0.65993,1.1816,0.00068815,0.00068815,0.00068815
65,4000.44,1.04778,0.67925,1.0368,0.95303,0.96184,0.97176,0.66352,1.19557,0.67127,1.18023,0.0006832,0.0006832,0.0006832
66,4064.09,0.95449,0.71087,1.02377,0.96791,0.95434,0.96669,0.66493,1.16624,0.66646,1.17035,0.00067825,0.00067825,0.00067825
67,4128.81,1.00388,0.67657,1.04076,0.96428,0.96488,0.96776,0.65486,1.22877,0.68691,1.21265,0.0006733,0.0006733,0.0006733
68,4196.29,0.98346,0.67165,1.03145,0.95363,0.95447,0.96602,0.6396,1.22859,0.70122,1.21832,0.00066835,0.00066835,0.00066835
69,4259.44,1.03149,0.74965,1.0489,0.95371,0.94604,0.95651,0.63904,1.21277,0.6935,1.20473,0.0006634,0.0006634,0.0006634
70,4322.73,1.03733,0.69452,1.05837,0.97352,0.96562,0.9605,0.63414,1.20577,0.66924,1.21056,0.00065845,0.00065845,0.00065845
71,4386.16,0.96898,0.67991,1.0063,0.97647,0.97079,0.96424,0.63807,1.19368,0.68086,1.19176,0.0006535,0.0006535,0.0006535
72,4449.88,0.98904,0.69143,1.01438,0.96467,0.94862,0.95945,0.64165,1.19153,0.67926,1.18419,0.00064855,0.00064855,0.00064855
73,4513.23,0.97603,0.64608,1.00698,0.96496,0.94888,0.96086,0.65494,1.16059,0.65716,1.17661,0.0006436,0.0006436,0.0006436
74,4578.33,1.01965,0.67429,1.05426,0.96367,0.93506,0.96847,0.64411,1.19313,0.68231,1.20745,0.00063865,0.00063865,0.00063865
75,4643.89,1.08808,0.73257,1.08067,0.96704,0.94706,0.96164,0.63583,1.21795,0.65402,1.2215,0.0006337,0.0006337,0.0006337
76,4706.87,1.03038,0.63455,1.04833,0.96773,0.94938,0.97511,0.63582,1.2388,0.66197,1.22583,0.00062875,0.00062875,0.00062875
77,4770.35,0.92279,0.66885,0.95427,0.95154,0.96726,0.96768,0.63892,1.20036,0.65822,1.1982,0.0006238,0.0006238,0.0006238
78,4833.98,0.98842,0.64186,1.04306,0.93335,0.96289,0.96563,0.64102,1.21117,0.6465,1.1901,0.00061885,0.00061885,0.00061885
79,4897.28,0.99537,0.74746,1.03414,0.96823,0.95551,0.96433,0.65365,1.21065,0.65995,1.20496,0.0006139,0.0006139,0.0006139
80,4960.33,0.9924,0.66534,1.01357,0.93801,0.97914,0.97309,0.62948,1.26103,0.64021,1.24443,0.00060895,0.00060895,0.00060895
81,5022.55,0.93757,0.65143,1.02879,0.97515,0.96405,0.96216,0.64545,1.24106,0.60022,1.24261,0.000604,0.000604,0.000604
82,5087.19,1.01153,0.63367,1.04672,0.96384,0.95362,0.96364,0.65701,1.17873,0.61806,1.16352,0.00059905,0.00059905,0.00059905
83,5149.45,1.15766,0.65371,1.2606,0.96006,0.92741,0.95624,0.6514,1.18009,0.66143,1.17054,0.0005941,0.0005941,0.0005941
84,5212.35,0.95407,0.64227,0.99989,0.93759,0.95573,0.9655,0.64903,1.18724,0.63229,1.20672,0.00058915,0.00058915,0.00058915
85,5274.79,0.95169,0.61491,1.02207,0.94866,0.93126,0.96465,0.64692,1.20729,0.66139,1.21544,0.0005842,0.0005842,0.0005842
86,5338.69,0.92454,0.63339,0.98543,0.94894,0.95352,0.9554,0.64973,1.17132,0.64704,1.16815,0.00057925,0.00057925,0.00057925
87,5402.84,0.90475,0.57421,0.99338,0.94331,0.95028,0.95576,0.6424,1.23428,0.65371,1.20704,0.0005743,0.0005743,0.0005743
88,5466.77,0.84001,0.59672,0.91204,0.96346,0.93196,0.95778,0.62495,1.23132,0.64167,1.2331,0.00056935,0.00056935,0.00056935
89,5531.49,0.92341,0.60195,0.98803,0.95381,0.93501,0.9564,0.63362,1.2328,0.63654,1.25624,0.0005644,0.0005644,0.0005644
90,5597.1,0.90617,0.59074,0.96781,0.95086,0.93487,0.95916,0.63751,1.20532,0.63689,1.21166,0.00055945,0.00055945,0.00055945
91,5663.31,0.90087,0.58615,0.9853,0.94546,0.93196,0.95461,0.64843,1.16845,0.63101,1.17532,0.0005545,0.0005545,0.0005545
92,5730.57,0.89676,0.60311,0.98465,0.94911,0.93333,0.95875,0.63514,1.20135,0.63553,1.2086,0.00054955,0.00054955,0.00054955
93,5796.83,0.89295,0.57906,0.98349,0.94829,0.93289,0.95519,0.65127,1.16221,0.62811,1.18547,0.0005446,0.0005446,0.0005446
94,5863.13,0.96902,0.63945,1.00538,0.92984,0.96029,0.94624,0.64491,1.18143,0.61396,1.17669,0.00053965,0.00053965,0.00053965
95,5929.72,0.93843,0.58639,1.00702,0.93255,0.95245,0.95205,0.64547,1.18944,0.61418,1.18379,0.0005347,0.0005347,0.0005347
96,5996.89,0.86533,0.62303,0.98061,0.93907,0.95303,0.96289,0.65432,1.21885,0.61209,1.21351,0.00052975,0.00052975,0.00052975
97,6063.82,0.90872,0.60077,0.99485,0.96096,0.93643,0.96609,0.63233,1.2398,0.63623,1.2244,0.0005248,0.0005248,0.0005248
98,6130.2,0.9916,0.61136,1.04414,0.9757,0.92707,0.96393,0.64151,1.2329,0.62873,1.24164,0.00051985,0.00051985,0.00051985
99,6194.12,0.83227,0.57825,0.93486,0.9514,0.95077,0.96008,0.6494,1.17673,0.60355,1.1864,0.0005149,0.0005149,0.0005149
100,6258.34,0.951,0.58087,1.01295,0.95778,0.94801,0.95349,0.6431,1.20584,0.62254,1.2146,0.00050995,0.00050995,0.00050995
101,6320.9,0.917,0.58855,1.00636,0.95711,0.95012,0.95855,0.63866,1.20592,0.61534,1.21089,0.000505,0.000505,0.000505
102,6384.3,0.88553,0.5432,0.97799,0.95569,0.95313,0.96065,0.64706,1.19902,0.59935,1.20295,0.00050005,0.00050005,0.00050005
103,6447.11,0.92958,0.7154,0.99747,0.95415,0.95218,0.95566,0.65751,1.19065,0.60422,1.18008,0.0004951,0.0004951,0.0004951
104,6510.04,0.83621,0.53935,0.96529,0.95605,0.95337,0.95359,0.65095,1.19044,0.60209,1.21508,0.00049015,0.00049015,0.00049015
105,6572.25,0.84747,0.56884,0.97505,0.95671,0.95358,0.951,0.63682,1.21337,0.59328,1.20531,0.0004852,0.0004852,0.0004852
106,6635.74,0.86794,0.58907,0.99339,0.96956,0.94731,0.95621,0.64144,1.21578,0.58744,1.20729,0.00048025,0.00048025,0.00048025
107,6699.76,0.84346,0.54112,0.98385,0.96709,0.95872,0.96229,0.62614,1.27438,0.59002,1.24993,0.0004753,0.0004753,0.0004753
108,6764.75,0.90563,0.56764,0.95133,0.97041,0.96336,0.96217,0.62936,1.25894,0.60561,1.25228,0.00047035,0.00047035,0.00047035
109,6831.59,0.82635,0.53695,0.96551,0.97063,0.96119,0.96035,0.63104,1.23849,0.598,1.24713,0.0004654,0.0004654,0.0004654
110,6898.82,0.80196,0.54511,0.89591,0.96355,0.9534,0.95592,0.63051,1.23772,0.6094,1.2421,0.00046045,0.00046045,0.00046045
111,6966.05,0.84656,0.55945,0.96851,0.95788,0.94908,0.95846,0.61214,1.25943,0.62747,1.25584,0.0004555,0.0004555,0.0004555
112,7032.59,0.81943,0.52415,0.95254,0.94407,0.9596,0.95226,0.61938,1.23102,0.63148,1.2376,0.00045055,0.00045055,0.00045055
113,7095.79,0.85055,0.55978,0.96916,0.94318,0.95443,0.95014,0.60306,1.31764,0.63818,1.33649,0.0004456,0.0004456,0.0004456
114,7158.48,0.83537,0.52575,0.95004,0.94589,0.9442,0.96361,0.64677,1.18813,0.5763,1.21605,0.00044065,0.00044065,0.00044065
115,7221.92,0.85213,0.59057,0.95793,0.95754,0.94049,0.96479,0.64426,1.19237,0.58625,1.21172,0.0004357,0.0004357,0.0004357
116,7284.47,0.77015,0.52907,0.88818,0.93038,0.95801,0.95877,0.63371,1.21163,0.59187,1.21134,0.00043075,0.00043075,0.00043075
117,7346.88,0.78947,0.55422,0.94326,0.92914,0.95939,0.9566,0.62392,1.23231,0.59928,1.25033,0.0004258,0.0004258,0.0004258
118,7409.52,0.78987,0.57001,0.95693,0.95028,0.95602,0.95853,0.63383,1.21929,0.60032,1.26877,0.00042085,0.00042085,0.00042085
119,7475.67,0.80809,0.53464,0.93586,0.95236,0.94007,0.95643,0.62907,1.22869,0.60226,1.25983,0.0004159,0.0004159,0.0004159
120,7540.59,0.77566,0.515,0.95415,0.95713,0.94616,0.95753,0.63119,1.23479,0.59864,1.24107,0.00041095,0.00041095,0.00041095
121,7605.63,0.79016,0.52135,0.94515,0.95211,0.94955,0.95496,0.65075,1.21979,0.60118,1.22611,0.000406,0.000406,0.000406
122,7670.4,0.83272,0.53548,0.96734,0.95392,0.9448,0.95197,0.65851,1.20018,0.59371,1.21135,0.00040105,0.00040105,0.00040105
123,7735.29,0.80764,0.53684,0.94029,0.948,0.94553,0.9578,0.65713,1.19615,0.59661,1.21693,0.0003961,0.0003961,0.0003961
124,7799.89,0.80313,0.52696,0.95769,0.94962,0.9456,0.95914,0.65209,1.19563,0.58607,1.20591,0.00039115,0.00039115,0.00039115
125,7863.3,0.79053,0.50351,0.9406,0.95369,0.94373,0.96101,0.65188,1.19651,0.59946,1.21636,0.0003862,0.0003862,0.0003862
126,7926.4,0.78052,0.49888,0.96265,0.93715,0.94596,0.94981,0.6343,1.19235,0.58747,1.24004,0.00038125,0.00038125,0.00038125
127,7988.92,0.8231,0.52757,0.94054,0.95337,0.94112,0.95371,0.63673,1.22253,0.59024,1.24128,0.0003763,0.0003763,0.0003763
